StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,QConsent,1.1,1.2,2.2_Id,2.2_Name,2.2_Size,2.2_Type,2.3,3.1.1,3.1.2,3.2,3.2_3_TEXT,3.3,4.1,4.2,4.3,4.3.1,4.3.2,4.3.2_5_TEXT,4.3.3,4.3.3_3_TEXT,4.4,4.4.1,4.4.2,4.4.2_5_TEXT,4.4.3,4.4.3_3_TEXT,Q44,Q44_3_TEXT,Q44_7_TEXT,Q45,Q45_9_TEXT,Q45_11_TEXT,Q46,Q47,Q-Nudge-Recall-Weak,Q-Nudge-Recall-Comp,5.2,5.3,5.3_4_TEXT,Q-bug-reports,PROLIFIC_PID,SurveyID,UserAgent,Referer,ResponseID,STUDY_ID,SESSION_ID
2021-01-29 03:36:20,2021-01-29 03:37:36,IP Address,100,75,True,2021-01-29 03:37:36,R_26ni7u2vAii2XFS,anonymous,EN,0.9,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c716cb5ceb78e00015605b7,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",,R_26ni7u2vAii2XFS,5fffe5d53d8583062b14514a,6013bae82654fb2b7793491a
2021-01-29 03:39:27,2021-01-29 03:40:26,IP Address,100,59,True,2021-01-29 03:40:27,R_1JIokQ15xbohwHu,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff57d837f831200086f377a,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_1JIokQ15xbohwHu,5fffe5d53d8583062b14514a,6013bba8e9c54b2b90b3257a
2021-01-29 03:39:43,2021-01-29 03:40:56,IP Address,100,72,True,2021-01-29 03:40:56,R_1JEfSLHfQ6EvnTw,anonymous,EN,0.9,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f52731bb4a680516d71c2bc,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_1JEfSLHfQ6EvnTw,5fffe5d53d8583062b14514a,6013bbbce6b0ba2a0dcde908
2021-01-29 03:38:29,2021-01-29 03:52:31,IP Address,100,842,True,2021-01-29 03:52:31,R_cXWLHdVE0grJGiB,anonymous,EN,0.9,"Yes, I consent",LastPass,Between 3 to 4 years,F_ePq9GsCAtG2Qsal,Screenshot 2021-01-29 094559.png,65537,image/png,Yes,Rarely,,Allow my password manager to create a random password for me,,,15,4,1,I should replace all of the passwords reported as weak or reused.,"I am worried something could go wrong when I replace these passwords.,I have not gotten around to replacing these reused passwords.",,,,-1,,,,,,I re-used a password I had already memorized.,,,I used a feature in my password manager to empower one or more trusted friends or family to help me recover my data.,,,,,More than a month ago,Never,25,Male,,,5f8feb5453814b000a39f338,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36",,R_cXWLHdVE0grJGiB,5fffe5d53d8583062b14514a,6013bb71aa37e12aeaed788d
2021-01-29 03:24:42,2021-01-29 03:53:01,IP Address,100,1699,True,2021-01-29 03:53:01,R_3e8sdQ5ZZVzdS9j,anonymous,EN,1,"Yes, I consent",Keeper Password Manager,Between 2 months to 1 year,F_57O1uleMlhUtRZv,passwords.JPG,35507,image/jpeg,Yes,Frequently,,Create a password myself and let my password manager save it,," I do not trust programs in 100%, I prefer to know my passwords without its help",85,76,52,I should replace some of the passwords reported as weak or reused.,I am worried something could go wrong when I replace these passwords.,,I prefer to have passwords I can remember without my password manager.,,-1,,,,,,I re-used a password I had already memorized.,,,"I wrote down the master password onto paper or another physical medium.,I stored my master password in a file on my phone, computer, or other device.",,,No,,When I first set up the password manager,Never,23,Male,,,5eeaa59697466d1cc64f6719,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_3e8sdQ5ZZVzdS9j,5fffe5d53d8583062b14514a,6013b8368ca6a927fa5710e9
2021-01-29 03:58:24,2021-01-29 03:59:03,IP Address,100,38,True,2021-01-29 03:59:04,R_py4jD3s1dimCluF,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f292d85fdc2e32fd03ef4a1,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_py4jD3s1dimCluF,5fffe5d53d8583062b14514a,6013bfe8b76cfa2bfe0ac99d
2021-01-29 03:49:19,2021-01-29 04:10:32,IP Address,100,1273,True,2021-01-29 04:10:33,R_2V2fThNbem9Zb9T,anonymous,EN,1,"Yes, I consent",Dashlane,Between 2 months to 1 year,F_33CQTLzbSmblxeM,hasła   12123424.png,91474,image/png,No,,Definitely,Create a password myself and let my password manager save it,,I do not trust such a site. And the password must be long and difficult,0,12,4,I should replace all of the passwords reported as weak or reused.,"I am worried something could go wrong when I replace these passwords.,Other (please explain)","Because it annoys me to remember everyone else's password for any other account, and yes, I have one password for everything",,,-1,,,,,,I created a password using only my mind.,,,"I wrote down the master password onto paper or another physical medium.,I emailed my master password to myself.",,,,,More than a month ago,Never,19,Male,,,5f1ea02746999b87b4489f36,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_2V2fThNbem9Zb9T,5fffe5d53d8583062b14514a,6013bdf904904a294da4160d
2021-01-29 04:14:02,2021-01-29 04:14:20,Survey Preview,100,18,True,2021-01-29 04:14:20,R_2t4BPksP00KHbdf,preview,EN,1,"Yes, I consent",Dashlane,Less than 2 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.96 Safari/537.36",https://berkeley.ca1.qualtrics.com/jfe/preview/SV_0ilvaSWMyHsWsDk?Q_CHL=preview&Q_SurveyVersionID=current,R_2t4BPksP00KHbdf,,
2021-01-29 04:57:38,2021-01-29 04:57:54,IP Address,100,16,True,2021-01-29 04:57:55,R_xyo56rKlM4hetyx,anonymous,EN,1,"Yes, I consent",Dashlane,Less than 2 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff6f527932d562d3d4037b3,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_xyo56rKlM4hetyx,6013cafa13e64f033d8199d4,6013cddfb35fc103c9d82f0c
2021-01-29 04:57:09,2021-01-29 04:58:03,IP Address,100,53,True,2021-01-29 04:58:03,R_AEAaNYG972rqNnX,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f20247996215b06459cdfff,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_AEAaNYG972rqNnX,6013cafa13e64f033d8199d4,6013cde1ea3f232d1325da20
2021-01-29 04:58:31,2021-01-29 04:58:57,IP Address,100,25,True,2021-01-29 04:58:57,R_31oRKP5uM3LXLOa,anonymous,EN,1,"No, I do not consent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ef697f43ce68a189be50e02,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_31oRKP5uM3LXLOa,6013cafa13e64f033d8199d4,6013ce2c9604472bd6158e42
2021-01-29 04:59:30,2021-01-29 05:01:08,IP Address,100,97,True,2021-01-29 05:01:08,R_eFeZyQw0k0ZDxKN,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fb57ec2517a3e0b16afae3a,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (X11; CrOS aarch64 13505.111.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.152 Safari/537.36",,R_eFeZyQw0k0ZDxKN,6013cafa13e64f033d8199d4,6013ce3df791c42a6b04c418
2021-01-29 04:57:20,2021-01-29 05:02:41,IP Address,100,321,True,2021-01-29 05:02:42,R_79bgMOKbrV5SY7f,anonymous,EN,0.9,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fb5a0b59ba3a512d93382b7,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_79bgMOKbrV5SY7f,6013cafa13e64f033d8199d4,6013cde5612c402bd756191e
2021-01-29 05:01:36,2021-01-29 05:07:53,IP Address,100,377,True,2021-01-29 05:07:53,R_XX6LlD7UMRTzYQN,anonymous,EN,1,"No, I do not consent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bf82fd83d71550001d460b5,SV_0ilvaSWMyHsWsDk,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,,R_XX6LlD7UMRTzYQN,6013cafa13e64f033d8199d4,6013ceeda5f93a2c56ca6f06
2021-01-29 05:08:03,2021-01-29 05:08:52,IP Address,100,49,True,2021-01-29 05:08:52,R_22EpS2i6l24F0Sa,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f9195db475c94016b4a9750,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_22EpS2i6l24F0Sa,6013cafa13e64f033d8199d4,6013d06e665c422af1f3dbce
2021-01-29 05:09:31,2021-01-29 05:12:14,IP Address,100,163,True,2021-01-29 05:12:14,R_2U4Nr8prVu6A1z5,anonymous,EN,1,"Yes, I consent",1Password,Less than 2 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fc10b1a5c1f0709f43b6845,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",,R_2U4Nr8prVu6A1z5,6013cafa13e64f033d8199d4,6013cfd23161f72d29b1f757
2021-01-29 05:13:14,2021-01-29 05:13:43,IP Address,100,29,True,2021-01-29 05:13:44,R_3iCoGLhvFSny9II,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7c94621acf2a0d49b84148,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_3iCoGLhvFSny9II,6013cafa13e64f033d8199d4,6013d1a375762b2ad1e6374d
2021-01-29 05:13:59,2021-01-29 05:15:26,IP Address,100,87,True,2021-01-29 05:15:26,R_3rVqRpi9IsvOwC2,anonymous,EN,1,"Yes, I consent",I'm not using a password manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fb16376c19dcc608d026e84,SV_0ilvaSWMyHsWsDk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36",,R_3rVqRpi9IsvOwC2,6013cafa13e64f033d8199d4,6013d1d4e9c54b2c7e4e5fc7
